Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
134,KINECTRICS INDIA PRIVATE LIMITED,Canada,KINECTRICS INTERNATIONAL INC,AHMEDABAD,Technical testing and analysis,0.00,0.00,
135,KINECTRICS INDIA PRIVATE LIMITED,Canada,AXIOM N D T CORPORATION,AHMEDABAD,Technical testing and analysis,0.00,0.00,
136,KINECTRICS INDIA PRIVATE LIMITED,Canada,KINECTRICS INTERNATIONAL INC,AHMEDABAD,Technical testing and analysis,0.00,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
137,CHALLENGER SWEEPERS PRIVATE LIMITED,Canada,CHALLENGER MANUFACTURING LIMITED,AHMEDABAD,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tool",14.46,0.20,
138,JEC DISTRIBUTORS PVT LTD,Canada,JEC DISTRIBUTORS INC,MUMBAI,"Manufacture of
ovens, furnaces and furnace burners",0.33,0.00,
139,JEC DISTRIBUTORS PVT LTD,Canada,JEC DISTRIBUTORS INC,MUMBAI,"Manufacture of ovens, furnaces and furnace burners",0.10,0.00,
140,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Canada,PRASAD JVND,MUMBAI,"Computer consultancy and computer facilities management
activities",0.58,0.01,
141,LEAPINC BUSINESS SOLUTIONS P LTD,Canada,9111 7564 quebec inc,CHENNAI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine
tools",1.00,0.01,
142,AVADH AIRCON PRIVATE LIMITED,Canada,PANKAJKUMAR A PANDE,AHMEDABAD,Manufacture of other electronic consumer goods n.e.c. (this includes nontelevision video camera),0.50,0.01,
143,"CERES BIOSYSTEMS INDIA
PVT LTD(Erstwhile",Canada,CERES BIOSYSTEMS LIMITED,AHMEDABAD,Manufacture of urea and other organic fertilizers,7.84,0.11,
144,CHALLENGER SWEEPERS PRIVATE LIMITED,Canada,CHALLENGER MANUFACTURING LIMITED,AHMEDABAD,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools",12.87,0.19,
145,CHALLENGER SWEEPERS PRIVATE LIMITED,Canada,CHALLENGER MANUFACTURING LIMITED,AHMEDABAD,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools",12.61,0.18,
